Class,Major
SO,CS
FR,CS
SO,CS
SO,EXPL
JR,MSCI
JR,PS
SO,PS
SO,EXPL
JR,EXPL
SO,PBA
FR,DSCI
SO,DSCI
SR,MATH
FR,BI
SR,CS
JR,MATH
SO,CS
SO,EXPL
SO,DSCI
SO,MUS
JR,CS
FR,CS
SO,CS
FR,CS
JR,DSCI
SR,DSCI
FR,CS
SO,NEUR
FR,CS
SO,DSCI
SO,PHYS
SO,JPN
SO,ATCF
JR,SDSC
JR,BI
SO,DSCI
FR,CS
SO,CS
JR,CS
SO,CS
SO,ARH
JR,CS
FR,CS
SO,DSCI
JR,MARB
SO,PSY
SO,CIS
JR,LING
SO,EXPL
SO,CS
SO,ESCI
FR,CS
FR,CS
SO,EXPL
SO,PSY
SO,CS
JR,PBA
SO,DSCI
SO,MSCI
FR,CS
FR,CS
SO,BADM
FR,CS
JR,MACS
FR,MACS
SR,DSCI
FR,CS
SO,CS
FR,CS
SO,PBA
JR,CS
FR,CS
SO,DSCI
JR,PBA
JR,MSCI
SO,CS
FR,CS
JR,ATCH
SO,EXPL
JR,EXPL
FR,MACS
SO,CS
SO,ACTG
SO,CS
FR,DSCI
SR,MSCI
FR,CS
SR,CS
SR,DSCI
SO,DSCI
JR,DSCI
SO,CS
FR,MACS
SO,PBA
SO,LING
JR,PHYS
SO,DSCI
SO,DSCI
SO,BI
SO,CS
FR,CS
SO,DSCI
FR,CS
FR,DSCI
SO,PSY
SO,DSCI
JR,PSY
FR,CS
JR,BADM
SO,PSY
JR,CS
FR,MACS
JR,EC
JR,EC
FR,CS
SO,PSY
JR,PHYS
SO,DSCI
SO,MACS
SR,MACS
SO,CIS
FR,MACS
SO,EXPL
FR,PHYS
FR,CS
JR,DSCI
FR,CS
FR,CS
FR,CS
SR,CS
FR,EXPL
SO,CS
JR,CS
SO,CS
SR,EXPL
FR,DSCI
FR,CS
SO,PBA
JR,MACS
SR,NEUR
SO,CS
SO,PBA
SO,CS
SO,CS
JR,PBA
FR,CS
SO,MATH
SO,DSCI
FR,CS
SO,DSCI
SO,CS
SO,CS
FR,CS
FR,CS
FR,CS
SO,CS
JR,PSY
JR,DSCI
FR,CS
SO,EXPL
FR,CS
SO,BADM
FR,CS
SO,PBA
SO,EXPL
SO,CS
SO,PSY
JR,DSCI
JR,CS
SO,CS
JR,DSCI
SO,MACS
FR,CS
SO,DSCI
SO,CS
JR,DSCI
SO,EXPL
JR,MACS
FR,CS
JR,BADM
JR,PHYS
FR,MATH
SO,EXPL
JR,DSCI
FR,DSCI
SO,ENG
JR,PS
SO,CS
SO,PBA
JR,CS
FR,CS
JR,CS
SO,BADM
JR,DSCI
FR,CS
FR,CS